,ID_Sample,Sample Name,ID_Analyses,geographic location (longitude),"geographic location (country and/or sea,region)",environment (biome),environment (feature),environment (material),environmental package,depth,elevation,geographic location (latitude),instrument model,ENA checklist,last update date
0,ERS1474434,qiita_sid_846:846.Fagna24102011Soil12A1,MGYA00353758,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
1,ERS1474435,qiita_sid_846:846.Fagna24102011Soil12A2,MGYA00353759,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
2,ERS1474436,qiita_sid_846:846.Fagna24102011Soil12A3,MGYA00353760,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
3,ERS1474437,qiita_sid_846:846.Fagna24102011Soil12A4,MGYA00353761,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
4,ERS1474438,qiita_sid_846:846.Fagna24102011Soil12B1,MGYA00353762,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
5,ERS1474439,qiita_sid_846:846.Fagna24102011Soil12B2,MGYA00353763,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
6,ERS1474440,qiita_sid_846:846.Fagna24102011Soil12B3,MGYA00353764,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
7,ERS1474441,qiita_sid_846:846.Fagna24102011Soil12B4,MGYA00353765,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
8,ERS1474442,qiita_sid_846:846.Fagna24102011Soil12C1,MGYA00353766,11.341,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
9,ERS1474443,qiita_sid_846:846.Fagna24102011Soil12C2,MGYA00353767,11.341,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
10,ERS1474444,qiita_sid_846:846.Fagna24102011Soil12C3,MGYA00353768,11.341,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
11,ERS1474445,qiita_sid_846:846.Fagna24102011Soil12C4,MGYA00353769,11.341,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
12,ERS1474446,qiita_sid_846:846.Fagna24102011Soil14A1,MGYA00353770,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
13,ERS1474447,qiita_sid_846:846.Fagna24102011Soil14A2,MGYA00353771,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
14,ERS1474448,qiita_sid_846:846.Fagna24102011Soil14A3,MGYA00353772,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
15,ERS1474449,qiita_sid_846:846.Fagna24102011Soil14A4,MGYA00353773,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
16,ERS1474450,qiita_sid_846:846.Fagna24102011Soil14B1,MGYA00353774,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
17,ERS1474451,qiita_sid_846:846.Fagna24102011Soil14B2,MGYA00353775,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
18,ERS1474452,qiita_sid_846:846.Fagna24102011Soil14B3,MGYA00353776,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
19,ERS1474453,qiita_sid_846:846.Fagna24102011Soil14B4,MGYA00353777,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
20,ERS1474454,qiita_sid_846:846.Fagna24102011Soil14C1,MGYA00353778,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
21,ERS1474455,qiita_sid_846:846.Fagna24102011Soil14C2,MGYA00353779,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
22,ERS1474456,qiita_sid_846:846.Fagna24102011Soil14C3,MGYA00353780,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
23,ERS1474457,qiita_sid_846:846.Fagna24102011Soil14C4,MGYA00353781,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
24,ERS1474458,qiita_sid_846:846.Fagna24102011Soil15A1,MGYA00353782,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
25,ERS1474459,qiita_sid_846:846.Fagna24102011Soil15A2,MGYA00353783,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
26,ERS1474460,qiita_sid_846:846.Fagna24102011Soil15A3,MGYA00353784,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
27,ERS1474461,qiita_sid_846:846.Fagna24102011Soil15A4,MGYA00353785,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
28,ERS1474462,qiita_sid_846:846.Fagna24102011Soil15B1,MGYA00353786,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
29,ERS1474463,qiita_sid_846:846.Fagna24102011Soil15B2,MGYA00353787,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
30,ERS1474464,qiita_sid_846:846.Fagna24102011Soil15B3,MGYA00353788,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
31,ERS1474465,qiita_sid_846:846.Fagna24102011Soil15B4,MGYA00353789,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
32,ERS1474466,qiita_sid_846:846.Fagna24102011Soil15C1,MGYA00353790,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
33,ERS1474467,qiita_sid_846:846.Fagna24102011Soil15C2,MGYA00353791,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
34,ERS1474468,qiita_sid_846:846.Fagna24102011Soil15C3,MGYA00353792,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
35,ERS1474469,qiita_sid_846:846.Fagna24102011Soil15C4,MGYA00353793,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.984,Illumina HiSeq 2000,ERC000011,2016-12-16
36,ERS1474470,qiita_sid_846:846.Fagna24102011Soil4A1,MGYA00353794,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
37,ERS1474471,qiita_sid_846:846.Fagna24102011Soil4A2,MGYA00353795,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
38,ERS1474472,qiita_sid_846:846.Fagna24102011Soil4A3,MGYA00353796,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
39,ERS1474473,qiita_sid_846:846.Fagna24102011Soil4A4,MGYA00353797,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
40,ERS1474474,qiita_sid_846:846.Fagna24102011Soil4B1,MGYA00353798,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
41,ERS1474475,qiita_sid_846:846.Fagna24102011Soil4B2,MGYA00353799,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
42,ERS1474476,qiita_sid_846:846.Fagna24102011Soil4B3,MGYA00353800,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
43,ERS1474477,qiita_sid_846:846.Fagna24102011Soil4B4,MGYA00353801,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
44,ERS1474478,qiita_sid_846:846.Fagna24102011Soil4C1,MGYA00353802,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.0-0.1,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
45,ERS1474479,qiita_sid_846:846.Fagna24102011Soil4C2,MGYA00353803,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.1-0.2,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
46,ERS1474480,qiita_sid_846:846.Fagna24102011Soil4C3,MGYA00353804,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.2-0.3,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
47,ERS1474481,qiita_sid_846:846.Fagna24102011Soil4C4,MGYA00353805,11.342,Italy:Tuscany:Fagna,cropland biome,agricultural feature,agricultural soil,soil,0.3-0.4,224.0,43.985,Illumina HiSeq 2000,ERC000011,2016-12-16
